model,condition,mask_ratio,layer,mean_attention_distance,far_attention_mass,masked_to_visible_distance,visible_to_visible_distance,num_images,head_distances_json,head_far_attention_mass_json,head_masked_to_visible_distances_json,head_visible_to_visible_distances_json
AE,full_image,0.0,0,4.13005509185791,0.5504665660858155,,,500,"[4.131853858947754, 4.131413295745849, 4.128483917236328, 4.128470005035401]","[0.5508783960342407, 0.5506919536590577, 0.5501515383720398, 0.5501443595886231]",[],[]
AE,full_image,0.0,1,4.1473877944946285,0.553782413482666,,,500,"[4.1510293083190914, 4.1456264305114745, 4.142548427581787, 4.150346557617188]","[0.5545325665473938, 0.5534545469284058, 0.5528218498229981, 0.5543206601142884]",[],[]
AE,full_image,0.0,2,4.136186180114746,0.5515413675308227,,,500,"[4.135115299224854, 4.13408377456665, 4.140924133300781, 4.134621940612793]","[0.5513236126899719, 0.5511109590530395, 0.5525388331413269, 0.5511920499801636]",[],[]
AE,full_image,0.0,3,4.142253402709961,0.5526838197708129,,,500,"[4.143275638580322, 4.142740608215332, 4.143498573303223, 4.13949861907959]","[0.5529606800079345, 0.5527806596755982, 0.5528285131454468, 0.5521654214859009]",[],[]
MAE,full_image,0.0,0,3.562267457962036,0.42489347434043884,,,500,"[4.163713962554931, 3.035253969192505, 3.0832611446380613, 3.9668409023284914]","[0.552600242614746, 0.3131953318119049, 0.3209051783084869, 0.5128731522560119]",[],[]
MAE,full_image,0.0,1,3.7914696350097654,0.4701858558654785,,,500,"[3.9909812812805177, 3.2928191356658933, 3.7217558403015136, 4.16032230758667]","[0.5173088788986206, 0.3612362105846405, 0.4456928777694702, 0.5565054683685303]",[],[]
MAE,full_image,0.0,2,4.125395557403564,0.5487665767669678,,,500,"[4.1039026184082035, 4.137947883605957, 4.1317488479614255, 4.127983062744141]","[0.5444763221740723, 0.5493065791130066, 0.5510216860771179, 0.5502616953849793]",[],[]
MAE,full_image,0.0,3,4.100383712768554,0.5441351261138916,,,500,"[4.112513191223145, 4.076834381103516, 4.108966331481934, 4.103220275878906]","[0.5467614321708679, 0.5390761213302613, 0.5461005315780639, 0.5446024498939515]",[],[]
MAE,masked_reconstruction,0.75,0,2.7270435333251952,0.2727143783569336,3.1640110206604004,3.2329302139282228,500,"[3.8718099155426025, 2.097187425613403, 1.6760105381011963, 3.2631662101745604]","[0.48282646322250367, 0.1410344306230545, 0.0909374241232872, 0.3760592312812805]","[3.933737752914429, 2.2886737689971923, 2.7509713706970214, 3.6826610431671143]","[3.7893856697082517, 2.5864020156860352, 2.755061836242676, 3.8008712368011475]"
MAE,masked_reconstruction,0.75,1,2.620412630081177,0.24549155378341675,2.8005565910339354,2.341422876358032,500,"[3.2659507064819335, 1.4976225023269654, 1.584597092628479, 4.133480136871338]","[0.34760786676406863, 0.05012858411669731, 0.038663964748382566, 0.5455658001899719]","[3.295587673187256, 1.7173949337005616, 1.7544684896469116, 4.434775218963623]","[3.1026441745758055, 0.9124953451156617, 1.2286176433563232, 4.121934421539307]"
MAE,masked_reconstruction,0.75,2,3.986920331954956,0.5198246245384216,4.094327407836914,3.840586109161377,500,"[4.007236351013184, 3.8782765979766847, 4.035902816772461, 4.026265678405761]","[0.525475193977356, 0.49214799618721006, 0.53294145154953, 0.5287338633537293]","[4.1114984855651855, 3.9672395610809326, 4.15107506942749, 4.1474965515136715]","[3.870510015487671, 3.699248617172241, 3.912834972381592, 3.8797510948181153]"
MAE,masked_reconstruction,0.75,3,4.022362930297851,0.5285801558494568,4.146725254058838,3.8861730155944825,500,"[4.035381690979004, 4.095882575988769, 3.985512088775635, 3.972675340652466]","[0.5322050404548645, 0.5424916253089905, 0.5220554285049438, 0.5175685291290283]","[4.1592628898620605, 4.247650554656983, 4.11998583984375, 4.0600017547607425]","[3.9148944969177246, 3.9357242317199708, 3.8776768379211424, 3.816396270751953]"
