model,condition,mask_ratio,layer,mean_attention_distance,far_attention_mass,masked_to_visible_distance,visible_to_visible_distance,num_images,head_distances_json,head_far_attention_mass_json,head_masked_to_visible_distances_json,head_visible_to_visible_distances_json
AE,full_image,0.0,0,4.136683702468872,0.5519053041934967,,,8,"[4.1397669315338135, 4.1374876499176025, 4.1349546909332275, 4.13452672958374]","[0.5525791645050049, 0.5520268976688385, 0.5514968633651733, 0.5515183210372925]",[],[]
AE,full_image,0.0,1,4.1374781131744385,0.5521632432937622,,,8,"[4.139984846115112, 4.137134790420532, 4.1356401443481445, 4.137152433395386]","[0.5527161359786987, 0.5520678460597992, 0.5517652332782745, 0.5521037578582764]",[],[]
AE,full_image,0.0,2,4.132975101470947,0.5510861873626709,,,8,"[4.132449626922607, 4.131560802459717, 4.136016607284546, 4.131873369216919]","[0.5510113537311554, 0.5507628321647644, 0.5517699420452118, 0.5508006513118744]",[],[]
AE,full_image,0.0,3,4.1350767612457275,0.5516115427017212,,,8,"[4.136620998382568, 4.135476589202881, 4.133651971817017, 4.134556531906128]","[0.551962673664093, 0.5516988635063171, 0.5513289868831635, 0.5514556765556335]",[],[]
MAE,full_image,0.0,0,3.472196578979492,0.4057063162326813,,,8,"[4.161445617675781, 2.8737688064575195, 2.956594944000244, 3.896977186203003]","[0.5506892800331116, 0.27886272966861725, 0.2936631441116333, 0.4996100962162018]",[],[]
MAE,full_image,0.0,1,3.762557864189148,0.4634113162755966,,,8,"[3.9892380237579346, 3.2275679111480713, 3.6765811443328857, 4.1568443775177]","[0.5165301263332367, 0.346560463309288, 0.43525078892707825, 0.5553039014339447]",[],[]
MAE,full_image,0.0,2,4.111525535583496,0.5457603335380554,,,8,"[4.082684516906738, 4.118280649185181, 4.1219635009765625, 4.123173236846924]","[0.5403567850589752, 0.544734001159668, 0.549145370721817, 0.5488051772117615]",[],[]
MAE,full_image,0.0,3,4.097998142242432,0.543701559305191,,,8,"[4.1043267250061035, 4.080974817276001, 4.109134674072266, 4.097557067871094]","[0.5452826619148254, 0.5397568345069885, 0.5463469624519348, 0.5434197187423706]",[],[]
MAE,masked_reconstruction,0.75,0,2.694667100906372,0.2671857178211212,2.9789483547210693,2.892181158065796,8,"[3.8686646223068237, 2.027310073375702, 1.6296695470809937, 3.2530242204666138]","[0.48149465024471283, 0.13144536316394806, 0.08099974691867828, 0.3748030960559845]","[3.7846275568008423, 2.2885334491729736, 2.327065587043762, 3.515567183494568]","[3.575599789619446, 2.2061617374420166, 2.3004831075668335, 3.4864799976348877]"
MAE,masked_reconstruction,0.75,1,2.606428623199463,0.24715281277894974,2.7946882247924805,2.1912951469421387,8,"[3.2742875814437866, 1.5029383897781372, 1.5664562582969666, 4.0820324420928955]","[0.3529133051633835, 0.058196695521473885, 0.039496615529060364, 0.5380046367645264]","[3.312333822250366, 1.7828461527824402, 1.7706443667411804, 4.3129284381866455]","[2.91388201713562, 0.7907727658748627, 1.1542963981628418, 3.9062299728393555]"
MAE,masked_reconstruction,0.75,2,3.960175037384033,0.5150988399982452,4.050109028816223,3.6422104835510254,8,"[3.985341191291809, 3.850017786026001, 4.010265111923218, 3.9950759410858154]","[0.5215539634227753, 0.48728567361831665, 0.52818763256073, 0.5233681201934814]","[4.087902069091797, 3.882342219352722, 4.1242711544036865, 4.105921506881714]","[3.6656464338302612, 3.5262839794158936, 3.7020082473754883, 3.6749032735824585]"
MAE,masked_reconstruction,0.75,3,4.001268625259399,0.5248225331306458,4.152834415435791,3.7052266597747803,8,"[4.01136040687561, 4.104883193969727, 3.957047939300537, 3.9317831993103027]","[0.5279079079627991, 0.5448004007339478, 0.516506016254425, 0.5100758075714111]","[4.145146608352661, 4.319906234741211, 4.121737003326416, 4.024547457695007]","[3.7223111391067505, 3.8025667667388916, 3.6666139364242554, 3.629415273666382]"
