model,seed,perturbation,accuracy,absolute_drop,relative_drop
AE,42,clean,0.0569,0.0,0.0
AE,42,high_pass,0.0104,0.0465,0.8172231985940246
AE,42,patch_shuffle,0.0567,0.0001999999999999988,0.003514938488576429
AE,42,patch_drop,0.0381,0.018799999999999997,0.33040421792618624
AE,43,clean,0.0564,0.0,0.0
AE,43,high_pass,0.0175,0.0389,0.6897163120567376
AE,43,patch_shuffle,0.0564,0.0,0.0
AE,43,patch_drop,0.0367,0.019699999999999995,0.3492907801418439
AE,44,clean,0.0588,0.0,0.0
AE,44,high_pass,0.0098,0.049,0.8333333333333334
AE,44,patch_shuffle,0.0588,0.0,0.0
AE,44,patch_drop,0.0415,0.017299999999999996,0.29421768707482987
MAE,42,clean,0.0892,0.0,0.0
MAE,42,high_pass,0.0122,0.077,0.8632286995515694
MAE,42,patch_shuffle,0.0695,0.019699999999999995,0.22085201793721967
MAE,42,patch_drop,0.041,0.0482,0.5403587443946188
MAE,43,clean,0.0849,0.0,0.0
MAE,43,high_pass,0.0117,0.0732,0.8621908127208481
MAE,43,patch_shuffle,0.0662,0.01870000000000001,0.22025912838633696
MAE,43,patch_drop,0.0394,0.045500000000000006,0.535924617196702
MAE,44,clean,0.0915,0.0,0.0
MAE,44,high_pass,0.0141,0.0774,0.8459016393442623
MAE,44,patch_shuffle,0.0695,0.021999999999999992,0.24043715846994526
MAE,44,patch_drop,0.0422,0.0493,0.5387978142076503
